bare,built,crops,flooded_vegetation,grass,shrub_and_scrub,snow_and_ice,trees,water,NO2_column_number_density
0.071736939,0.330112808,0.035985053,0.036054555,0.055505335,0.118815363,0.041024544,0.264125355,0.044025947,0.00016686
0.054012835,0.507299715,0.029577743,0.037576914,0.043146724,0.073042452,0.044746038,0.157296672,0.048152441,0.000165589
0.041352801,0.70009316,0.025459763,0.02786601,0.029582992,0.032358924,0.041160643,0.051975595,0.045628287,0.000160162
0.049270505,0.726354615,0.028889003,0.026876464,0.02422845,0.026269556,0.042082075,0.031752438,0.043527905,0.000158651
0.045654366,0.727968071,0.025095866,0.033734685,0.021292588,0.030306466,0.030754378,0.034410658,0.050339758,0.000157201
0.043610715,0.725392599,0.023208618,0.035070472,0.020481097,0.035869364,0.026482675,0.035477415,0.053425763,0.000157097
0.036199568,0.717848697,0.023793401,0.037199259,0.026185537,0.042295196,0.027586526,0.037075756,0.050999224,0.000157945
0.052358959,0.723600272,0.026532362,0.027222784,0.030995683,0.027845636,0.043457896,0.037075756,0.027779473,0.000156074
0.087998919,0.663110215,0.038691303,0.022718423,0.036993535,0.022603574,0.067137731,0.035598228,0.023835787,0.000157207
0.055562869,0.735172272,0.031774194,0.022644886,0.027601734,0.020046681,0.048514741,0.023746351,0.032827229,0.000158194
0.063027537,0.719944585,0.033723476,0.021879942,0.026121378,0.032298566,0.0463876,0.02021555,0.034331449,0.000158066
0.069105063,0.700399608,0.034252331,0.02169975,0.026971607,0.036118325,0.058699139,0.022329122,0.028800891,0.000158867
0.042339141,0.703979789,0.029851293,0.037169835,0.025620707,0.035846248,0.035661593,0.033818815,0.054881584,0.000160056
0.049711797,0.681803794,0.032639503,0.044385262,0.027424565,0.034865031,0.036601313,0.035817364,0.054824405,0.000159934
0.056647138,0.678004084,0.0340662,0.035219221,0.027596664,0.038152933,0.046914915,0.037175719,0.044617022,0.000161295
0.047778158,0.640932957,0.027323582,0.04525098,0.028259654,0.046413895,0.03803976,0.046321895,0.078296811,0.00016086
0.060757556,0.652738545,0.027835452,0.042194837,0.026254719,0.053179164,0.03798621,0.034438969,0.062943288,0.000160892
0.066750828,0.649906203,0.031210967,0.032178018,0.030530012,0.082309172,0.037612417,0.023930111,0.044939911,0.000160875
0.061239936,0.645387266,0.034694292,0.035465919,0.034586374,0.088443072,0.034575024,0.022773654,0.041688597,0.000161636
0.050100396,0.687814295,0.038302102,0.033510851,0.033137598,0.059701542,0.032336969,0.023840498,0.039998779,0.000161715
0.044301719,0.699480465,0.032013998,0.033243234,0.030765083,0.044559025,0.032794062,0.0359619,0.045680452,0.000161563
0.042603288,0.715084737,0.029086445,0.028863073,0.026921511,0.033628271,0.034865031,0.041352801,0.044610576,0.000161715
0.043578856,0.621632729,0.025698924,0.026358664,0.026816461,0.048239538,0.030974195,0.113572785,0.050531659,0.000161543
0.085001217,0.202689559,0.034178946,0.030226828,0.036560456,0.091039361,0.045582667,0.406849944,0.049922953,0.000165589
0.104959548,0.056045881,0.04707369,0.036519621,0.035805814,0.100915963,0.044398122,0.524903964,0.047891625,0.000165621
0.101420712,0.038081436,0.065534313,0.037612417,0.040863991,0.100625335,0.037452786,0.512617194,0.064584665,0.000165487
0.075949291,0.032937908,0.100954745,0.040378087,0.076615158,0.112997578,0.037246361,0.437177304,0.075378467,0.000168933
0.08950812,0.03356674,0.213688944,0.04210712,0.184618235,0.164098177,0.045680452,0.168503636,0.051226907,0.000167566
0.099804163,0.034195874,0.261559451,0.039421055,0.206208229,0.153698551,0.049991163,0.116304145,0.036025588,0.000169268
